Full Drug Name,Drug,Public/Private,Unit/MPR,MSH,Country,Year,Month,Price
Paracetamol 120 mg/5ml suspension,Paracetamol,Public,Unit,,Afghanistan,2011,November,0.008
Salbutamol 100 mcg/dose inhaler,Salbutamol,Private,Unit,,Afghanistan,2011,November,0.009
Salbutamol 100 mcg/dose inhaler,Salbutamol,Public,Unit,,Afghanistan,2011,November,0.008
Simvastatin 20 mg cap/tab,Simvastatin,Private,Unit,,Afghanistan,2011,November,0.108
Simvastatin 20 mg cap/tab,Simvastatin,Public,Unit,,Afghanistan,2011,November,0.081
Amitriptyline 25 mg cap/tab,Amitriptyline,Private,MPR,MSH2001,Armenia,2001,October,3.13
Atenolol 50 mg cap/tab,Atenolol,Private,MPR,MSH2001,Armenia,2001,October,6.82
Captopril 25 mg cap/tab,Captopril,Private,MPR,MSH2001,Armenia,2001,October,1.97
Ceftriaxone 1 g/vial injection,Ceftriaxone,Private,MPR,MSH2001,Armenia,2001,October,2.3
Ciprofloxacin 500 mg cap/tab,Ciprofloxacin,Private,MPR,MSH2001,Armenia,2001,October,6.74
Co-trimoxazole 40+200 mg/5ml suspension,Co-trimoxazole,Private,MPR,MSH2001,Armenia,2001,October,7.82
Diclofenac 50 mg cap/tab,Diclofenac,Private,MPR,MSH2001,Armenia,2001,October,3.27
Omeprazole 20 mg cap/tab,Omeprazole,Private,MPR,MSH2001,Armenia,2001,October,0.48
Salbutamol 100 mcg/dose inhaler,Salbutamol,Private,MPR,MSH2001,Armenia,2001,October,1.5
Amitriptyline 25 mg cap/tab,Amitriptyline,Private,Unit,,Armenia,2001,October,0.018
Atenolol 50 mg cap/tab,Atenolol,Private,Unit,,Armenia,2001,October,0.049
Captopril 25 mg cap/tab,Captopril,Private,Unit,,Armenia,2001,October,0.058
Ceftriaxone 1 g/vial injection,Ceftriaxone,Private,Unit,,Armenia,2001,October,3.393
Ciprofloxacin 500 mg cap/tab,Ciprofloxacin,Private,Unit,,Armenia,2001,October,0.25
Co-trimoxazole 40+200 mg/5ml suspension,Co-trimoxazole,Private,Unit,,Armenia,2001,October,0.029
Diclofenac 50 mg cap/tab,Diclofenac,Private,Unit,,Armenia,2001,October,0.054
Omeprazole 20 mg cap/tab,Omeprazole,Private,Unit,,Armenia,2001,October,0.161
Salbutamol 100 mcg/dose inhaler,Salbutamol,Private,Unit,,Armenia,2001,October,0.009
Amitriptyline 25 mg cap/tab,Amitriptyline,Private,MPR,MSH2007,Bolivia,2008,October,8.32
Amitriptyline 25 mg cap/tab,Amitriptyline,Public,MPR,MSH2007,Bolivia,2008,October,6.24
Amoxicillin 500 mg cap/tab,Amoxicillin,Private,MPR,MSH2007,Bolivia,2008,October,2.27
Amoxicillin 500 mg cap/tab,Amoxicillin,Public,MPR,MSH2007,Bolivia,2008,October,1.81
Atenolol 50 mg cap/tab,Atenolol,Private,MPR,MSH2007,Bolivia,2008,October,6.15
Atenolol 50 mg cap/tab,Atenolol,Public,MPR,MSH2007,Bolivia,2008,October,3.51
Captopril 25 mg cap/tab,Captopril,Private,MPR,MSH2007,Bolivia,2008,October,NO DATA
Captopril 25 mg cap/tab,Captopril,Public,MPR,MSH2007,Bolivia,2008,October,NO DATA
Ceftriaxone 1 g/vial injection,Ceftriaxone,Private,MPR,MSH2007,Bolivia,2008,October,1.88
Ceftriaxone 1 g/vial injection,Ceftriaxone,Public,MPR,MSH2007,Bolivia,2008,October,1.56
Ciprofloxacin 500 mg cap/tab,Ciprofloxacin,Private,MPR,MSH2007,Bolivia,2008,October,4.42
Ciprofloxacin 500 mg cap/tab,Ciprofloxacin,Public,MPR,MSH2007,Bolivia,2008,October,3.09
Co-trimoxazole 40+200 mg/5ml suspension,Co-trimoxazole,Private,MPR,MSH2007,Bolivia,2008,October,3.98
Co-trimoxazole 40+200 mg/5ml suspension,Co-trimoxazole,Public,MPR,MSH2007,Bolivia,2008,October,4.42
Diazepam 5 mg cap/tab,Diazepam,Private,MPR,MSH2007,Bolivia,2008,October,27.73
Diazepam 5 mg cap/tab,Diazepam,Public,MPR,MSH2007,Bolivia,2008,October,8.32
Diclofenac 50 mg cap/tab,Diclofenac,Private,MPR,MSH2007,Bolivia,2008,October,7.86
Diclofenac 50 mg cap/tab,Diclofenac,Public,MPR,MSH2007,Bolivia,2008,October,6.29
Glibenclamide 5 mg cap/tab,Glibenclamide,Private,MPR,MSH2007,Bolivia,2008,October,13.03
Glibenclamide 5 mg cap/tab,Glibenclamide,Public,MPR,MSH2007,Bolivia,2008,October,7.44
Omeprazole 20 mg cap/tab,Omeprazole,Private,MPR,MSH2007,Bolivia,2008,October,3.33
Omeprazole 20 mg cap/tab,Omeprazole,Public,MPR,MSH2007,Bolivia,2008,October,2
Paracetamol 120 mg/5ml suspension,Paracetamol,Private,MPR,MSH2007,Bolivia,2008,October,5.77
Paracetamol 120 mg/5ml suspension,Paracetamol,Public,MPR,MSH2007,Bolivia,2008,October,3.1
Salbutamol 100 mcg/dose inhaler,Salbutamol,Private,MPR,MSH2007,Bolivia,2008,October,2.36
Salbutamol 100 mcg/dose inhaler,Salbutamol,Public,MPR,MSH2007,Bolivia,2008,October,1.71
Simvastatin 20 mg cap/tab,Simvastatin,Private,MPR,MSH2007,Bolivia,2008,October,NO DATA
Simvastatin 20 mg cap/tab,Simvastatin,Public,MPR,MSH2007,Bolivia,2008,October,NO DATA
Amitriptyline 25 mg cap/tab,Amitriptyline,Private,Unit,,Bolivia,2008,October,0.057
Amitriptyline 25 mg cap/tab,Amitriptyline,Public,Unit,,Bolivia,2008,October,0.042
Amoxicillin 500 mg cap/tab,Amoxicillin,Private,Unit,,Bolivia,2008,October,0.106
Amoxicillin 500 mg cap/tab,Amoxicillin,Public,Unit,,Bolivia,2008,October,0.085
Atenolol 50 mg cap/tab,Atenolol,Private,Unit,,Bolivia,2008,October,0.099
Atenolol 50 mg cap/tab,Atenolol,Public,Unit,,Bolivia,2008,October,0.057
Captopril 25 mg cap/tab,Captopril,Private,Unit,,Bolivia,2008,October,NO DATA
Captopril 25 mg cap/tab,Captopril,Public,Unit,,Bolivia,2008,October,NO DATA
Ceftriaxone 1 g/vial injection,Ceftriaxone,Private,Unit,,Bolivia,2008,October,1.7
Ceftriaxone 1 g/vial injection,Ceftriaxone,Public,Unit,,Bolivia,2008,October,1.41
Ciprofloxacin 500 mg cap/tab,Ciprofloxacin,Private,Unit,,Bolivia,2008,October,0.141
Ciprofloxacin 500 mg cap/tab,Ciprofloxacin,Public,Unit,,Bolivia,2008,October,0.099
Co-trimoxazole 40+200 mg/5ml suspension,Co-trimoxazole,Private,Unit,,Bolivia,2008,October,0.016
Co-trimoxazole 40+200 mg/5ml suspension,Co-trimoxazole,Public,Unit,,Bolivia,2008,October,0.018
Diazepam 5 mg cap/tab,Diazepam,Private,Unit,,Bolivia,2008,October,0.141
Diazepam 5 mg cap/tab,Diazepam,Public,Unit,,Bolivia,2008,October,0.042
Diclofenac 50 mg cap/tab,Diclofenac,Private,Unit,,Bolivia,2008,October,0.035
Diclofenac 50 mg cap/tab,Diclofenac,Public,Unit,,Bolivia,2008,October,0.028
Glibenclamide 5 mg cap/tab,Glibenclamide,Private,Unit,,Bolivia,2008,October,0.05
Glibenclamide 5 mg cap/tab,Glibenclamide,Public,Unit,,Bolivia,2008,October,0.028
Omeprazole 20 mg cap/tab,Omeprazole,Private,Unit,,Bolivia,2008,October,0.142
Omeprazole 20 mg cap/tab,Omeprazole,Public,Unit,,Bolivia,2008,October,0.085
Paracetamol 120 mg/5ml suspension,Paracetamol,Private,Unit,,Bolivia,2008,October,0.022
Paracetamol 120 mg/5ml suspension,Paracetamol,Public,Unit,,Bolivia,2008,October,0.012
Salbutamol 100 mcg/dose inhaler,Salbutamol,Private,Unit,,Bolivia,2008,October,0.021
Salbutamol 100 mcg/dose inhaler,Salbutamol,Public,Unit,,Bolivia,2008,October,0.015
Simvastatin 20 mg cap/tab,Simvastatin,Private,Unit,,Bolivia,2008,October,NO DATA
Simvastatin 20 mg cap/tab,Simvastatin,Public,Unit,,Bolivia,2008,October,NO DATA
Amitriptyline 25 mg cap/tab,Amitriptyline,Private,MPR,MSH2001,"Brazil, Rio de Janeiro State",2001,October,NO DATA
Captopril 25 mg cap/tab,Captopril,Private,MPR,MSH2001,"Brazil, Rio de Janeiro State",2001,October,NO DATA
Ceftriaxone 1 g/vial injection,Ceftriaxone,Private,MPR,MSH2001,"Brazil, Rio de Janeiro State",2001,October,NO DATA
Ciprofloxacin 500 mg cap/tab,Ciprofloxacin,Private,MPR,MSH2001,"Brazil, Rio de Janeiro State",2001,October,NO DATA
Diclofenac 50 mg cap/tab,Diclofenac,Private,MPR,MSH2001,"Brazil, Rio de Janeiro State",2001,October,NO DATA
Omeprazole 20 mg cap/tab,Omeprazole,Private,MPR,MSH2001,"Brazil, Rio de Janeiro State",2001,October,NO DATA
Salbutamol 100 mcg/dose inhaler,Salbutamol,Private,MPR,MSH2001,"Brazil, Rio de Janeiro State",2001,October,NO DATA
Amitriptyline 25 mg cap/tab,Amitriptyline,Private,Unit,,"Brazil, Rio de Janeiro State",2001,October,NO DATA
Captopril 25 mg cap/tab,Captopril,Private,Unit,,"Brazil, Rio de Janeiro State",2001,October,NO DATA
Ceftriaxone 1 g/vial injection,Ceftriaxone,Private,Unit,,"Brazil, Rio de Janeiro State",2001,October,NO DATA
Ciprofloxacin 500 mg cap/tab,Ciprofloxacin,Private,Unit,,"Brazil, Rio de Janeiro State",2001,October,NO DATA
Diclofenac 50 mg cap/tab,Diclofenac,Private,Unit,,"Brazil, Rio de Janeiro State",2001,October,NO DATA
Omeprazole 20 mg cap/tab,Omeprazole,Private,Unit,,"Brazil, Rio de Janeiro State",2001,October,NO DATA
Salbutamol 100 mcg/dose inhaler,Salbutamol,Private,Unit,,"Brazil, Rio de Janeiro State",2001,October,NO DATA
Amitriptyline 25 mg cap/tab,Amitriptyline,Private,MPR,MSH2007,"Brazil, Rio Grande do Sul State",2008,November,25.35
Amitriptyline 25 mg cap/tab,Amitriptyline,Public,MPR,MSH2007,"Brazil, Rio Grande do Sul State",2008,November,free
Amoxicillin 500 mg cap/tab,Amoxicillin,Private,MPR,MSH2007,"Brazil, Rio Grande do Sul State",2008,November,6.45
Amoxicillin 500 mg cap/tab,Amoxicillin,Public,MPR,MSH2007,"Brazil, Rio Grande do Sul State",2008,November,free
Atenolol 50 mg cap/tab,Atenolol,Private,MPR,MSH2007,"Brazil, Rio Grande do Sul State",2008,November,10.89
Atenolol 50 mg cap/tab,Atenolol,Public,MPR,MSH2007,"Brazil, Rio Grande do Sul State",2008,November,NO DATA
Captopril 25 mg cap/tab,Captopril,Private,MPR,MSH2007,"Brazil, Rio Grande do Sul State",2008,November,9.07
Captopril 25 mg cap/tab,Captopril,Public,MPR,MSH2007,"Brazil, Rio Grande do Sul State",2008,November,free
Ceftriaxone 1 g/vial injection,Ceftriaxone,Private,MPR,MSH2007,"Brazil, Rio Grande do Sul State",2008,November,8.36
Ceftriaxone 1 g/vial injection,Ceftriaxone,Public,MPR,MSH2007,"Brazil, Rio Grande do Sul State",2008,November,NO DATA
Ciprofloxacin 500 mg cap/tab,Ciprofloxacin,Private,MPR,MSH2007,"Brazil, Rio Grande do Sul State",2008,November,23.83
Ciprofloxacin 500 mg cap/tab,Ciprofloxacin,Public,MPR,MSH2007,"Brazil, Rio Grande do Sul State",2008,November,NO DATA
Co-trimoxazole 40+200 mg/5ml suspension,Co-trimoxazole,Private,MPR,MSH2007,"Brazil, Rio Grande do Sul State",2008,November,8.36
Co-trimoxazole 40+200 mg/5ml suspension,Co-trimoxazole,Public,MPR,MSH2007,"Brazil, Rio Grande do Sul State",2008,November,free
Diazepam 5 mg cap/tab,Diazepam,Private,MPR,MSH2007,"Brazil, Rio Grande do Sul State",2008,November,16.48
Diazepam 5 mg cap/tab,Diazepam,Public,MPR,MSH2007,"Brazil, Rio Grande do Sul State",2008,November,NO DATA
Diclofenac 50 mg cap/tab,Diclofenac,Private,MPR,MSH2007,"Brazil, Rio Grande do Sul State",2008,November,47.89
Diclofenac 50 mg cap/tab,Diclofenac,Public,MPR,MSH2007,"Brazil, Rio Grande do Sul State",2008,November,NO DATA
Glibenclamide 5 mg cap/tab,Glibenclamide,Private,MPR,MSH2007,"Brazil, Rio Grande do Sul State",2008,November,22.27
Glibenclamide 5 mg cap/tab,Glibenclamide,Public,MPR,MSH2007,"Brazil, Rio Grande do Sul State",2008,November,NO DATA
Omeprazole 20 mg cap/tab,Omeprazole,Private,MPR,MSH2007,"Brazil, Rio Grande do Sul State",2008,November,15.5
Omeprazole 20 mg cap/tab,Omeprazole,Public,MPR,MSH2007,"Brazil, Rio Grande do Sul State",2008,November,NO DATA
Salbutamol 100 mcg/dose inhaler,Salbutamol,Private,MPR,MSH2007,"Brazil, Rio Grande do Sul State",2008,November,NO DATA
Salbutamol 100 mcg/dose inhaler,Salbutamol,Public,MPR,MSH2007,"Brazil, Rio Grande do Sul State",2008,November,NO DATA
Simvastatin 20 mg cap/tab,Simvastatin,Private,MPR,MSH2007,"Brazil, Rio Grande do Sul State",2008,November,16.86
Simvastatin 20 mg cap/tab,Simvastatin,Public,MPR,MSH2007,"Brazil, Rio Grande do Sul State",2008,November,NO DATA
Amitriptyline 25 mg cap/tab,Amitriptyline,Private,Unit,,"Brazil, Rio Grande do Sul State",2008,November,0.172
Amitriptyline 25 mg cap/tab,Amitriptyline,Public,Unit,,"Brazil, Rio Grande do Sul State",2008,November,free
Amoxicillin 500 mg cap/tab,Amoxicillin,Private,Unit,,"Brazil, Rio Grande do Sul State",2008,November,0.302
Amoxicillin 500 mg cap/tab,Amoxicillin,Public,Unit,,"Brazil, Rio Grande do Sul State",2008,November,free
Atenolol 50 mg cap/tab,Atenolol,Private,Unit,,"Brazil, Rio Grande do Sul State",2008,November,0.175
Atenolol 50 mg cap/tab,Atenolol,Public,Unit,,"Brazil, Rio Grande do Sul State",2008,November,NO DATA
Captopril 25 mg cap/tab,Captopril,Private,Unit,,"Brazil, Rio Grande do Sul State",2008,November,0.171
Captopril 25 mg cap/tab,Captopril,Public,Unit,,"Brazil, Rio Grande do Sul State",2008,November,free
Ceftriaxone 1 g/vial injection,Ceftriaxone,Private,Unit,,"Brazil, Rio Grande do Sul State",2008,November,7.557
Ceftriaxone 1 g/vial injection,Ceftriaxone,Public,Unit,,"Brazil, Rio Grande do Sul State",2008,November,NO DATA
Ciprofloxacin 500 mg cap/tab,Ciprofloxacin,Private,Unit,,"Brazil, Rio Grande do Sul State",2008,November,0.763
Ciprofloxacin 500 mg cap/tab,Ciprofloxacin,Public,Unit,,"Brazil, Rio Grande do Sul State",2008,November,NO DATA
Co-trimoxazole 40+200 mg/5ml suspension,Co-trimoxazole,Private,Unit,,"Brazil, Rio Grande do Sul State",2008,November,0.033
Co-trimoxazole 40+200 mg/5ml suspension,Co-trimoxazole,Public,Unit,,"Brazil, Rio Grande do Sul State",2008,November,free
Diazepam 5 mg cap/tab,Diazepam,Private,Unit,,"Brazil, Rio Grande do Sul State",2008,November,0.084
Diazepam 5 mg cap/tab,Diazepam,Public,Unit,,"Brazil, Rio Grande do Sul State",2008,November,NO DATA
Diclofenac 50 mg cap/tab,Diclofenac,Private,Unit,,"Brazil, Rio Grande do Sul State",2008,November,0.216
Diclofenac 50 mg cap/tab,Diclofenac,Public,Unit,,"Brazil, Rio Grande do Sul State",2008,November,NO DATA
Glibenclamide 5 mg cap/tab,Glibenclamide,Private,Unit,,"Brazil, Rio Grande do Sul State",2008,November,0.085
Glibenclamide 5 mg cap/tab,Glibenclamide,Public,Unit,,"Brazil, Rio Grande do Sul State",2008,November,NO DATA
Omeprazole 20 mg cap/tab,Omeprazole,Private,Unit,,"Brazil, Rio Grande do Sul State",2008,November,0.659
Omeprazole 20 mg cap/tab,Omeprazole,Public,Unit,,"Brazil, Rio Grande do Sul State",2008,November,NO DATA
Salbutamol 100 mcg/dose inhaler,Salbutamol,Private,Unit,,"Brazil, Rio Grande do Sul State",2008,November,NO DATA
Salbutamol 100 mcg/dose inhaler,Salbutamol,Public,Unit,,"Brazil, Rio Grande do Sul State",2008,November,NO DATA
Simvastatin 20 mg cap/tab,Simvastatin,Private,Unit,,"Brazil, Rio Grande do Sul State",2008,November,0.686
Simvastatin 20 mg cap/tab,Simvastatin,Public,Unit,,"Brazil, Rio Grande do Sul State",2008,November,NO DATA
Amitriptyline 25 mg cap/tab,Amitriptyline,Private,MPR,MSH2008,Burkina Faso,2009,July,NO DATA
Amitriptyline 25 mg cap/tab,Amitriptyline,Public,MPR,MSH2008,Burkina Faso,2009,July,NO DATA
Amoxicillin 500 mg cap/tab,Amoxicillin,Private,MPR,MSH2008,Burkina Faso,2009,July,2.36
Amoxicillin 500 mg cap/tab,Amoxicillin,Public,MPR,MSH2008,Burkina Faso,2009,July,2.13
Atenolol 50 mg cap/tab,Atenolol,Private,MPR,MSH2008,Burkina Faso,2009,July,11.12
Atenolol 50 mg cap/tab,Atenolol,Public,MPR,MSH2008,Burkina Faso,2009,July,NO DATA
Captopril 25 mg cap/tab,Captopril,Private,MPR,MSH2008,Burkina Faso,2009,July,11.68
Captopril 25 mg cap/tab,Captopril,Public,MPR,MSH2008,Burkina Faso,2009,July,2.26
Ceftriaxone 1 g/vial injection,Ceftriaxone,Private,MPR,MSH2008,Burkina Faso,2009,July,3.12
Ceftriaxone 1 g/vial injection,Ceftriaxone,Public,MPR,MSH2008,Burkina Faso,2009,July,1.67
Ciprofloxacin 500 mg cap/tab,Ciprofloxacin,Private,MPR,MSH2008,Burkina Faso,2009,July,2.86
Ciprofloxacin 500 mg cap/tab,Ciprofloxacin,Public,MPR,MSH2008,Burkina Faso,2009,July,1.71
Co-trimoxazole 40+200 mg/5ml suspension,Co-trimoxazole,Private,MPR,MSH2008,Burkina Faso,2009,July,4.43
Co-trimoxazole 40+200 mg/5ml suspension,Co-trimoxazole,Public,MPR,MSH2008,Burkina Faso,2009,July,3.32
Diazepam 5 mg cap/tab,Diazepam,Private,MPR,MSH2008,Burkina Faso,2009,July,2.08
Diazepam 5 mg cap/tab,Diazepam,Public,MPR,MSH2008,Burkina Faso,2009,July,1.25
Diclofenac 50 mg cap/tab,Diclofenac,Private,MPR,MSH2008,Burkina Faso,2009,July,5.53
Diclofenac 50 mg cap/tab,Diclofenac,Public,MPR,MSH2008,Burkina Faso,2009,July,2.66
Glibenclamide 5 mg cap/tab,Glibenclamide,Private,MPR,MSH2008,Burkina Faso,2009,July,4.72
Glibenclamide 5 mg cap/tab,Glibenclamide,Public,MPR,MSH2008,Burkina Faso,2009,July,NO DATA
Omeprazole 20 mg cap/tab,Omeprazole,Private,MPR,MSH2008,Burkina Faso,2009,July,3.19
Omeprazole 20 mg cap/tab,Omeprazole,Public,MPR,MSH2008,Burkina Faso,2009,July,NO DATA
Paracetamol 120 mg/5ml suspension,Paracetamol,Private,MPR,MSH2008,Burkina Faso,2009,July,2.47
Paracetamol 120 mg/5ml suspension,Paracetamol,Public,MPR,MSH2008,Burkina Faso,2009,July,1.98
Salbutamol 100 mcg/dose inhaler,Salbutamol,Private,MPR,MSH2008,Burkina Faso,2009,July,1.42
Salbutamol 100 mcg/dose inhaler,Salbutamol,Public,MPR,MSH2008,Burkina Faso,2009,July,1.42
Simvastatin 20 mg cap/tab,Simvastatin,Private,MPR,MSH2008,Burkina Faso,2009,July,11.17
Simvastatin 20 mg cap/tab,Simvastatin,Public,MPR,MSH2008,Burkina Faso,2009,July,NO DATA
Amitriptyline 25 mg cap/tab,Amitriptyline,Private,Unit,,Burkina Faso,2009,July,NO DATA
Amitriptyline 25 mg cap/tab,Amitriptyline,Public,Unit,,Burkina Faso,2009,July,NO DATA
Amoxicillin 500 mg cap/tab,Amoxicillin,Private,Unit,,Burkina Faso,2009,July,0.106
Amoxicillin 500 mg cap/tab,Amoxicillin,Public,Unit,,Burkina Faso,2009,July,0.096
Atenolol 50 mg cap/tab,Atenolol,Private,Unit,,Burkina Faso,2009,July,0.179
Atenolol 50 mg cap/tab,Atenolol,Public,Unit,,Burkina Faso,2009,July,NO DATA
Captopril 25 mg cap/tab,Captopril,Private,Unit,,Burkina Faso,2009,July,0.165
Captopril 25 mg cap/tab,Captopril,Public,Unit,,Burkina Faso,2009,July,0.032
Ceftriaxone 1 g/vial injection,Ceftriaxone,Private,Unit,,Burkina Faso,2009,July,2.381
Ceftriaxone 1 g/vial injection,Ceftriaxone,Public,Unit,,Burkina Faso,2009,July,1.275
Ciprofloxacin 500 mg cap/tab,Ciprofloxacin,Private,Unit,,Burkina Faso,2009,July,0.106
Ciprofloxacin 500 mg cap/tab,Ciprofloxacin,Public,Unit,,Burkina Faso,2009,July,0.064
Co-trimoxazole 40+200 mg/5ml suspension,Co-trimoxazole,Private,Unit,,Burkina Faso,2009,July,0.018
Co-trimoxazole 40+200 mg/5ml suspension,Co-trimoxazole,Public,Unit,,Burkina Faso,2009,July,0.013
Diazepam 5 mg cap/tab,Diazepam,Private,Unit,,Burkina Faso,2009,July,0.011
Diazepam 5 mg cap/tab,Diazepam,Public,Unit,,Burkina Faso,2009,July,0.006
Diclofenac 50 mg cap/tab,Diclofenac,Private,Unit,,Burkina Faso,2009,July,0.027
Diclofenac 50 mg cap/tab,Diclofenac,Public,Unit,,Burkina Faso,2009,July,0.013
Glibenclamide 5 mg cap/tab,Glibenclamide,Private,Unit,,Burkina Faso,2009,July,0.021
Glibenclamide 5 mg cap/tab,Glibenclamide,Public,Unit,,Burkina Faso,2009,July,NO DATA
Omeprazole 20 mg cap/tab,Omeprazole,Private,Unit,,Burkina Faso,2009,July,0.105
Omeprazole 20 mg cap/tab,Omeprazole,Public,Unit,,Burkina Faso,2009,July,NO DATA
Paracetamol 120 mg/5ml suspension,Paracetamol,Private,Unit,,Burkina Faso,2009,July,0.011
Paracetamol 120 mg/5ml suspension,Paracetamol,Public,Unit,,Burkina Faso,2009,July,0.009
Salbutamol 100 mcg/dose inhaler,Salbutamol,Private,Unit,,Burkina Faso,2009,July,0.013
Salbutamol 100 mcg/dose inhaler,Salbutamol,Public,Unit,,Burkina Faso,2009,July,0.013
Simvastatin 20 mg cap/tab,Simvastatin,Private,Unit,,Burkina Faso,2009,July,0.703
Simvastatin 20 mg cap/tab,Simvastatin,Public,Unit,,Burkina Faso,2009,July,NO DATA
