Drug,Public/Private,Unit/MPR,Country,Year,Month,Price,P25,P75
Ciprofloxacin 500 mg cap/tab,Private,Unit,Afghanistan,2011,November,0.10,0.07,0.20
Ciprofloxacin 500 mg cap/tab,Public,Unit,Afghanistan,2011,November,0.07,0.07,0.08
Co-trimoxazole 40+200 mg/5ml suspension,Private,Unit,Afghanistan,2011,November,0.01,0.01,<0.01
Co-trimoxazole 40+200 mg/5ml suspension,Public,Unit,Afghanistan,2011,November,0.01,0.01,<0.01
Diazepam 5 mg cap/tab,Private,Unit,Afghanistan,2011,November,0.02,0.02,0.02
Diazepam 5 mg cap/tab,Public,Unit,Afghanistan,2011,November,0.02,0.01,0.02
Diclofenac 50 mg cap/tab,Private,Unit,Afghanistan,2011,November,0.02,0.02,0.03
Diclofenac 50 mg cap/tab,Public,Unit,Afghanistan,2011,November,0.01,0.01,0.01
Glibenclamide 5 mg cap/tab,Private,Unit,Afghanistan,2011,November,0.01,0.01,0.02
Glibenclamide 5 mg cap/tab,Public,Unit,Afghanistan,2011,November,0.01,0.01,0.01
Omeprazole 20 mg cap/tab,Private,Unit,Afghanistan,2011,November,0.06,0.05,0.08
Omeprazole 20 mg cap/tab,Public,Unit,Afghanistan,2011,November,0.01,0.01,0.01
Paracetamol 120 mg/5ml suspension,Private,Unit,Afghanistan,2011,November,0.01,0.01,<0.01
Paracetamol 120 mg/5ml suspension,Public,Unit,Afghanistan,2011,November,0.01,0.01,<0.01
Salbutamol 100 mcg/dose inhaler,Private,Unit,Afghanistan,2011,November,0.01,0.01,<0.01
Salbutamol 100 mcg/dose inhaler,Public,Unit,Afghanistan,2011,November,0.01,0.01,<0.01
Simvastatin 20 mg cap/tab,Private,Unit,Afghanistan,2011,November,0.11,0.08,0.16
Simvastatin 20 mg cap/tab,Public,Unit,Afghanistan,2011,November,0.08,0.08,0.09
Amitriptyline 25 mg cap/tab,Private,MPR,Armenia,2001,October,3.13,2.66,6.89
Atenolol 50 mg cap/tab,Private,MPR,Armenia,2001,October,6.82,6.20,9.28
Captopril 25 mg cap/tab,Private,MPR,Armenia,2001,October,1.97,1.82,2.27
Ceftriaxone 1 g/vial injection,Private,MPR,Armenia,2001,October,2.30,2.27,2.54
Ciprofloxacin 500 mg cap/tab,Private,MPR,Armenia,2001,October,6.74,4.81,15.88
Co-trimoxazole 40+200 mg/5ml suspension,Private,MPR,Armenia,2001,October,7.82,6.76,8.20
Diclofenac 50 mg cap/tab,Private,MPR,Armenia,2001,October,3.27,3.06,3.81
Omeprazole 20 mg cap/tab,Private,MPR,Armenia,2001,October,0.48,0.43,0.48
Salbutamol 100 mcg/dose inhaler,Private,MPR,Armenia,2001,October,1.50,1.45,1.70
Amitriptyline 25 mg cap/tab,Private,Unit,Armenia,2001,October,0.02,0.02,0.04
Atenolol 50 mg cap/tab,Private,Unit,Armenia,2001,October,0.05,0.04,0.07
Captopril 25 mg cap/tab,Private,Unit,Armenia,2001,October,0.06,0.05,0.07
Ceftriaxone 1 g/vial injection,Private,Unit,Armenia,2001,October,3.39,3.35,3.75
Ciprofloxacin 500 mg cap/tab,Private,Unit,Armenia,2001,October,0.25,0.18,0.59
Co-trimoxazole 40+200 mg/5ml suspension,Private,Unit,Armenia,2001,October,0.03,0.03,0.03
Diclofenac 50 mg cap/tab,Private,Unit,Armenia,2001,October,0.05,0.05,0.06
Omeprazole 20 mg cap/tab,Private,Unit,Armenia,2001,October,0.16,0.14,0.16
Salbutamol 100 mcg/dose inhaler,Private,Unit,Armenia,2001,October,0.01,0.01,0.01
Amitriptyline 25 mg cap/tab,Private,MPR,Bolivia,2008,October,8.32,6.24,9.57
Amitriptyline 25 mg cap/tab,Public,MPR,Bolivia,2008,October,6.24,5.46,8.32
Amoxicillin 500 mg cap/tab,Private,MPR,Bolivia,2008,October,2.27,2.12,2.27
Amoxicillin 500 mg cap/tab,Public,MPR,Bolivia,2008,October,1.81,1.63,2.12
Atenolol 50 mg cap/tab,Private,MPR,Bolivia,2008,October,6.15,4.61,8.79
Atenolol 50 mg cap/tab,Public,MPR,Bolivia,2008,October,3.51,2.68,5.49
Captopril 25 mg cap/tab,Private,MPR,Bolivia,2008,October,NO DATA,NO DATA,NO DATA
Captopril 25 mg cap/tab,Public,MPR,Bolivia,2008,October,NO DATA,NO DATA,NO DATA
Ceftriaxone 1 g/vial injection,Private,MPR,Bolivia,2008,October,1.88,1.45,2.19
Ceftriaxone 1 g/vial injection,Public,MPR,Bolivia,2008,October,1.56,1.22,1.80
Ciprofloxacin 500 mg cap/tab,Private,MPR,Bolivia,2008,October,4.42,4.42,4.42
Ciprofloxacin 500 mg cap/tab,Public,MPR,Bolivia,2008,October,3.09,2.31,4.41
Co-trimoxazole 40+200 mg/5ml suspension,Private,MPR,Bolivia,2008,October,3.98,3.54,6.45
Co-trimoxazole 40+200 mg/5ml suspension,Public,MPR,Bolivia,2008,October,4.42,2.23,5.30
Diazepam 5 mg cap/tab,Private,MPR,Bolivia,2008,October,27.73,27.73,34.67
Diazepam 5 mg cap/tab,Public,MPR,Bolivia,2008,October,8.32,7.49,19.41
Diclofenac 50 mg cap/tab,Private,MPR,Bolivia,2008,October,7.86,6.29,9.43
Diclofenac 50 mg cap/tab,Public,MPR,Bolivia,2008,October,6.29,4.71,6.68
Glibenclamide 5 mg cap/tab,Private,MPR,Bolivia,2008,October,13.03,11.17,17.68
Glibenclamide 5 mg cap/tab,Public,MPR,Bolivia,2008,October,7.44,7.44,11.17
Omeprazole 20 mg cap/tab,Private,MPR,Bolivia,2008,October,3.33,3.33,3.33
Omeprazole 20 mg cap/tab,Public,MPR,Bolivia,2008,October,2.00,1.66,3.33
Paracetamol 120 mg/5ml suspension,Private,MPR,Bolivia,2008,October,5.77,4.75,6.51
Paracetamol 120 mg/5ml suspension,Public,MPR,Bolivia,2008,October,3.10,2.98,4.96
Salbutamol 100 mcg/dose inhaler,Private,MPR,Bolivia,2008,October,2.36,1.98,3.10
Salbutamol 100 mcg/dose inhaler,Public,MPR,Bolivia,2008,October,1.71,1.52,1.94
Simvastatin 20 mg cap/tab,Private,MPR,Bolivia,2008,October,NO DATA,NO DATA,NO DATA
Simvastatin 20 mg cap/tab,Public,MPR,Bolivia,2008,October,NO DATA,NO DATA,NO DATA
Amitriptyline 25 mg cap/tab,Private,Unit,Bolivia,2008,October,0.06,0.04,0.07
Amitriptyline 25 mg cap/tab,Public,Unit,Bolivia,2008,October,0.04,0.04,0.06
Amoxicillin 500 mg cap/tab,Private,Unit,Bolivia,2008,October,0.11,0.10,0.11
Amoxicillin 500 mg cap/tab,Public,Unit,Bolivia,2008,October,0.09,0.08,0.10
Atenolol 50 mg cap/tab,Private,Unit,Bolivia,2008,October,0.10,0.07,0.14
Atenolol 50 mg cap/tab,Public,Unit,Bolivia,2008,October,0.06,0.04,0.09
Captopril 25 mg cap/tab,Private,Unit,Bolivia,2008,October,NO DATA,NO DATA,NO DATA
Captopril 25 mg cap/tab,Public,Unit,Bolivia,2008,October,NO DATA,NO DATA,NO DATA
Ceftriaxone 1 g/vial injection,Private,Unit,Bolivia,2008,October,1.70,1.31,1.98
Ceftriaxone 1 g/vial injection,Public,Unit,Bolivia,2008,October,1.41,1.10,1.63
Ciprofloxacin 500 mg cap/tab,Private,Unit,Bolivia,2008,October,0.14,0.14,0.14
Ciprofloxacin 500 mg cap/tab,Public,Unit,Bolivia,2008,October,0.10,0.07,0.14
Co-trimoxazole 40+200 mg/5ml suspension,Private,Unit,Bolivia,2008,October,0.02,0.01,0.03
Co-trimoxazole 40+200 mg/5ml suspension,Public,Unit,Bolivia,2008,October,0.02,0.01,0.02
Diazepam 5 mg cap/tab,Private,Unit,Bolivia,2008,October,0.14,0.14,0.18
Diazepam 5 mg cap/tab,Public,Unit,Bolivia,2008,October,0.04,0.04,0.10
Diclofenac 50 mg cap/tab,Private,Unit,Bolivia,2008,October,0.04,0.03,0.04
Diclofenac 50 mg cap/tab,Public,Unit,Bolivia,2008,October,0.03,0.02,0.03
Glibenclamide 5 mg cap/tab,Private,Unit,Bolivia,2008,October,0.05,0.04,0.07
Glibenclamide 5 mg cap/tab,Public,Unit,Bolivia,2008,October,0.03,0.03,0.04
Omeprazole 20 mg cap/tab,Private,Unit,Bolivia,2008,October,0.14,0.14,0.14
Omeprazole 20 mg cap/tab,Public,Unit,Bolivia,2008,October,0.09,0.07,0.14
Paracetamol 120 mg/5ml suspension,Private,Unit,Bolivia,2008,October,0.02,0.02,0.02
Paracetamol 120 mg/5ml suspension,Public,Unit,Bolivia,2008,October,0.01,0.01,0.02
Salbutamol 100 mcg/dose inhaler,Private,Unit,Bolivia,2008,October,0.02,0.02,0.03
Salbutamol 100 mcg/dose inhaler,Public,Unit,Bolivia,2008,October,0.02,0.01,0.02
Simvastatin 20 mg cap/tab,Private,Unit,Bolivia,2008,October,NO DATA,NO DATA,NO DATA
Simvastatin 20 mg cap/tab,Public,Unit,Bolivia,2008,October,NO DATA,NO DATA,NO DATA
Amitriptyline 25 mg cap/tab,Private,MPR,Brazil Rio de Janeiro State,2001,October,NO DATA,NO DATA,NO DATA
Captopril 25 mg cap/tab,Private,MPR,Brazil Rio de Janeiro State,2001,October,NO DATA,NO DATA,NO DATA
Ceftriaxone 1 g/vial injection,Private,MPR,Brazil Rio de Janeiro State,2001,October,NO DATA,NO DATA,NO DATA
Ciprofloxacin 500 mg cap/tab,Private,MPR,Brazil Rio de Janeiro State,2001,October,NO DATA,NO DATA,NO DATA
Diclofenac 50 mg cap/tab,Private,MPR,Brazil Rio de Janeiro State,2001,October,NO DATA,NO DATA,NO DATA
Omeprazole 20 mg cap/tab,Private,MPR,Brazil Rio de Janeiro State,2001,October,NO DATA,NO DATA,NO DATA
Salbutamol 100 mcg/dose inhaler,Private,MPR,Brazil Rio de Janeiro State,2001,October,NO DATA,NO DATA,NO DATA
Amitriptyline 25 mg cap/tab,Private,Unit,Brazil Rio de Janeiro State,2001,October,NO DATA,NO DATA,NO DATA
Captopril 25 mg cap/tab,Private,Unit,Brazil Rio de Janeiro State,2001,October,NO DATA,NO DATA,NO DATA
Ceftriaxone 1 g/vial injection,Private,Unit,Brazil Rio de Janeiro State,2001,October,NO DATA,NO DATA,NO DATA
Ciprofloxacin 500 mg cap/tab,Private,Unit,Brazil Rio de Janeiro State,2001,October,NO DATA,NO DATA,NO DATA
Diclofenac 50 mg cap/tab,Private,Unit,Brazil Rio de Janeiro State,2001,October,NO DATA,NO DATA,NO DATA
Omeprazole 20 mg cap/tab,Private,Unit,Brazil Rio de Janeiro State,2001,October,NO DATA,NO DATA,NO DATA
Salbutamol 100 mcg/dose inhaler,Private,Unit,Brazil Rio de Janeiro State,2001,October,NO DATA,NO DATA,NO DATA
Amitriptyline 25 mg cap/tab,Private,MPR,Brazil Rio Grande do Sul State,2008,November,25.35,22.92,25.97
Amitriptyline 25 mg cap/tab,Public,MPR,Brazil Rio Grande do Sul State,2008,November,free,free,free
Amoxicillin 500 mg cap/tab,Private,MPR,Brazil Rio Grande do Sul State,2008,November,6.45,5.50,6.70
Amoxicillin 500 mg cap/tab,Public,MPR,Brazil Rio Grande do Sul State,2008,November,free,free,free
Atenolol 50 mg cap/tab,Private,MPR,Brazil Rio Grande do Sul State,2008,November,10.89,9.10,12.80
Atenolol 50 mg cap/tab,Public,MPR,Brazil Rio Grande do Sul State,2008,November,NO DATA,NO DATA,NO DATA
Captopril 25 mg cap/tab,Private,MPR,Brazil Rio Grande do Sul State,2008,November,9.07,6.45,12.92
Captopril 25 mg cap/tab,Public,MPR,Brazil Rio Grande do Sul State,2008,November,free,free,free
Ceftriaxone 1 g/vial injection,Private,MPR,Brazil Rio Grande do Sul State,2008,November,8.36,7.44,8.42
Ceftriaxone 1 g/vial injection,Public,MPR,Brazil Rio Grande do Sul State,2008,November,NO DATA,NO DATA,NO DATA
Ciprofloxacin 500 mg cap/tab,Private,MPR,Brazil Rio Grande do Sul State,2008,November,23.83,20.62,30.86
Ciprofloxacin 500 mg cap/tab,Public,MPR,Brazil Rio Grande do Sul State,2008,November,NO DATA,NO DATA,NO DATA
Co-trimoxazole 40+200 mg/5ml suspension,Private,MPR,Brazil Rio Grande do Sul State,2008,November,8.36,7.67,8.46
Co-trimoxazole 40+200 mg/5ml suspension,Public,MPR,Brazil Rio Grande do Sul State,2008,November,free,free,free
Diazepam 5 mg cap/tab,Private,MPR,Brazil Rio Grande do Sul State,2008,November,16.48,12.11,16.52
Diazepam 5 mg cap/tab,Public,MPR,Brazil Rio Grande do Sul State,2008,November,NO DATA,NO DATA,NO DATA
Diclofenac 50 mg cap/tab,Private,MPR,Brazil Rio Grande do Sul State,2008,November,47.89,40.13,48.95
Diclofenac 50 mg cap/tab,Public,MPR,Brazil Rio Grande do Sul State,2008,November,NO DATA,NO DATA,NO DATA
Glibenclamide 5 mg cap/tab,Private,MPR,Brazil Rio Grande do Sul State,2008,November,22.27,18.65,23.09
Glibenclamide 5 mg cap/tab,Public,MPR,Brazil Rio Grande do Sul State,2008,November,NO DATA,NO DATA,NO DATA
Omeprazole 20 mg cap/tab,Private,MPR,Brazil Rio Grande do Sul State,2008,November,15.50,8.11,19.05
Omeprazole 20 mg cap/tab,Public,MPR,Brazil Rio Grande do Sul State,2008,November,NO DATA,NO DATA,NO DATA
Salbutamol 100 mcg/dose inhaler,Private,MPR,Brazil Rio Grande do Sul State,2008,November,NO DATA,NO DATA,NO DATA
Salbutamol 100 mcg/dose inhaler,Public,MPR,Brazil Rio Grande do Sul State,2008,November,NO DATA,NO DATA,NO DATA
Simvastatin 20 mg cap/tab,Private,MPR,Brazil Rio Grande do Sul State,2008,November,16.86,13.25,18.32
Simvastatin 20 mg cap/tab,Public,MPR,Brazil Rio Grande do Sul State,2008,November,NO DATA,NO DATA,NO DATA
Amitriptyline 25 mg cap/tab,Private,Unit,Brazil Rio Grande do Sul State,2008,November,0.17,0.16,0.18
Amitriptyline 25 mg cap/tab,Public,Unit,Brazil Rio Grande do Sul State,2008,November,free,free,free
Amoxicillin 500 mg cap/tab,Private,Unit,Brazil Rio Grande do Sul State,2008,November,0.30,0.26,0.31
Amoxicillin 500 mg cap/tab,Public,Unit,Brazil Rio Grande do Sul State,2008,November,free,free,free
Atenolol 50 mg cap/tab,Private,Unit,Brazil Rio Grande do Sul State,2008,November,0.18,0.15,0.21
Atenolol 50 mg cap/tab,Public,Unit,Brazil Rio Grande do Sul State,2008,November,NO DATA,NO DATA,NO DATA
Captopril 25 mg cap/tab,Private,Unit,Brazil Rio Grande do Sul State,2008,November,0.17,0.12,0.24
Captopril 25 mg cap/tab,Public,Unit,Brazil Rio Grande do Sul State,2008,November,free,free,free
Ceftriaxone 1 g/vial injection,Private,Unit,Brazil Rio Grande do Sul State,2008,November,7.56,6.73,7.61
Ceftriaxone 1 g/vial injection,Public,Unit,Brazil Rio Grande do Sul State,2008,November,NO DATA,NO DATA,NO DATA
Ciprofloxacin 500 mg cap/tab,Private,Unit,Brazil Rio Grande do Sul State,2008,November,0.76,0.66,0.99
Ciprofloxacin 500 mg cap/tab,Public,Unit,Brazil Rio Grande do Sul State,2008,November,NO DATA,NO DATA,NO DATA
Co-trimoxazole 40+200 mg/5ml suspension,Private,Unit,Brazil Rio Grande do Sul State,2008,November,0.03,0.03,0.03
Co-trimoxazole 40+200 mg/5ml suspension,Public,Unit,Brazil Rio Grande do Sul State,2008,November,free,free,free
Diazepam 5 mg cap/tab,Private,Unit,Brazil Rio Grande do Sul State,2008,November,0.08,0.06,0.08
Diazepam 5 mg cap/tab,Public,Unit,Brazil Rio Grande do Sul State,2008,November,NO DATA,NO DATA,NO DATA
Diclofenac 50 mg cap/tab,Private,Unit,Brazil Rio Grande do Sul State,2008,November,0.22,0.18,0.22
Diclofenac 50 mg cap/tab,Public,Unit,Brazil Rio Grande do Sul State,2008,November,NO DATA,NO DATA,NO DATA
Glibenclamide 5 mg cap/tab,Private,Unit,Brazil Rio Grande do Sul State,2008,November,0.09,0.07,0.09
Glibenclamide 5 mg cap/tab,Public,Unit,Brazil Rio Grande do Sul State,2008,November,NO DATA,NO DATA,NO DATA
Omeprazole 20 mg cap/tab,Private,Unit,Brazil Rio Grande do Sul State,2008,November,0.66,0.34,0.81
Omeprazole 20 mg cap/tab,Public,Unit,Brazil Rio Grande do Sul State,2008,November,NO DATA,NO DATA,NO DATA
Salbutamol 100 mcg/dose inhaler,Private,Unit,Brazil Rio Grande do Sul State,2008,November,NO DATA,NO DATA,NO DATA
Salbutamol 100 mcg/dose inhaler,Public,Unit,Brazil Rio Grande do Sul State,2008,November,NO DATA,NO DATA,NO DATA
Simvastatin 20 mg cap/tab,Private,Unit,Brazil Rio Grande do Sul State,2008,November,0.69,0.54,0.75
Simvastatin 20 mg cap/tab,Public,Unit,Brazil Rio Grande do Sul State,2008,November,NO DATA,NO DATA,NO DATA
Amitriptyline 25 mg cap/tab,Private,MPR,Burkina Faso,2009,July,NO DATA,NO DATA,NO DATA
Amitriptyline 25 mg cap/tab,Public,MPR,Burkina Faso,2009,July,NO DATA,NO DATA,NO DATA
Amoxicillin 500 mg cap/tab,Private,MPR,Burkina Faso,2009,July,2.36,2.13,2.36
Amoxicillin 500 mg cap/tab,Public,MPR,Burkina Faso,2009,July,2.13,2.13,2.13
Atenolol 50 mg cap/tab,Private,MPR,Burkina Faso,2009,July,11.12,10.59,11.22
Atenolol 50 mg cap/tab,Public,MPR,Burkina Faso,2009,July,NO DATA,NO DATA,NO DATA
Captopril 25 mg cap/tab,Private,MPR,Burkina Faso,2009,July,11.68,9.04,11.98
Captopril 25 mg cap/tab,Public,MPR,Burkina Faso,2009,July,2.26,2.26,2.26
Ceftriaxone 1 g/vial injection,Private,MPR,Burkina Faso,2009,July,3.12,2.23,5.64
Ceftriaxone 1 g/vial injection,Public,MPR,Burkina Faso,2009,July,1.67,1.67,1.67
Ciprofloxacin 500 mg cap/tab,Private,MPR,Burkina Faso,2009,July,2.86,2.29,2.86
Ciprofloxacin 500 mg cap/tab,Public,MPR,Burkina Faso,2009,July,1.71,1.71,1.71
Co-trimoxazole 40+200 mg/5ml suspension,Private,MPR,Burkina Faso,2009,July,4.43,3.76,4.43
Co-trimoxazole 40+200 mg/5ml suspension,Public,MPR,Burkina Faso,2009,July,3.32,3.32,3.32
Diazepam 5 mg cap/tab,Private,MPR,Burkina Faso,2009,July,2.08,2.08,4.17
Diazepam 5 mg cap/tab,Public,MPR,Burkina Faso,2009,July,1.25,1.25,1.25
Diclofenac 50 mg cap/tab,Private,MPR,Burkina Faso,2009,July,5.53,4.43,8.85
Diclofenac 50 mg cap/tab,Public,MPR,Burkina Faso,2009,July,2.66,2.66,3.54
Glibenclamide 5 mg cap/tab,Private,MPR,Burkina Faso,2009,July,4.72,4.72,4.72
Glibenclamide 5 mg cap/tab,Public,MPR,Burkina Faso,2009,July,NO DATA,NO DATA,NO DATA
Omeprazole 20 mg cap/tab,Private,MPR,Burkina Faso,2009,July,3.19,2.01,9.56
Omeprazole 20 mg cap/tab,Public,MPR,Burkina Faso,2009,July,NO DATA,NO DATA,NO DATA
Paracetamol 120 mg/5ml suspension,Private,MPR,Burkina Faso,2009,July,2.47,2.47,2.97
Paracetamol 120 mg/5ml suspension,Public,MPR,Burkina Faso,2009,July,1.98,1.98,1.98
Salbutamol 100 mcg/dose inhaler,Private,MPR,Burkina Faso,2009,July,1.42,1.42,1.77
Salbutamol 100 mcg/dose inhaler,Public,MPR,Burkina Faso,2009,July,1.42,1.42,1.42
Simvastatin 20 mg cap/tab,Private,MPR,Burkina Faso,2009,July,11.17,11.17,11.17
Simvastatin 20 mg cap/tab,Public,MPR,Burkina Faso,2009,July,NO DATA,NO DATA,NO DATA
Amitriptyline 25 mg cap/tab,Private,Unit,Burkina Faso,2009,July,NO DATA,NO DATA,NO DATA
Amitriptyline 25 mg cap/tab,Public,Unit,Burkina Faso,2009,July,NO DATA,NO DATA,NO DATA
Amoxicillin 500 mg cap/tab,Private,Unit,Burkina Faso,2009,July,0.11,0.10,0.11
Amoxicillin 500 mg cap/tab,Public,Unit,Burkina Faso,2009,July,0.10,0.10,0.10
Atenolol 50 mg cap/tab,Private,Unit,Burkina Faso,2009,July,0.18,0.17,0.18
Atenolol 50 mg cap/tab,Public,Unit,Burkina Faso,2009,July,NO DATA,NO DATA,NO DATA
Captopril 25 mg cap/tab,Private,Unit,Burkina Faso,2009,July,0.17,0.13,0.17
Captopril 25 mg cap/tab,Public,Unit,Burkina Faso,2009,July,0.03,0.03,0.03
Ceftriaxone 1 g/vial injection,Private,Unit,Burkina Faso,2009,July,2.38,1.70,4.30
Ceftriaxone 1 g/vial injection,Public,Unit,Burkina Faso,2009,July,1.28,1.28,1.28
Ciprofloxacin 500 mg cap/tab,Private,Unit,Burkina Faso,2009,July,0.11,0.09,0.11
Ciprofloxacin 500 mg cap/tab,Public,Unit,Burkina Faso,2009,July,0.06,0.06,0.06
Co-trimoxazole 40+200 mg/5ml suspension,Private,Unit,Burkina Faso,2009,July,0.02,0.02,0.02
Co-trimoxazole 40+200 mg/5ml suspension,Public,Unit,Burkina Faso,2009,July,0.01,0.01,0.01
Diazepam 5 mg cap/tab,Private,Unit,Burkina Faso,2009,July,0.01,0.01,0.02
Diazepam 5 mg cap/tab,Public,Unit,Burkina Faso,2009,July,0.01,0.01,<0.01
Diclofenac 50 mg cap/tab,Private,Unit,Burkina Faso,2009,July,0.03,0.02,0.04
Diclofenac 50 mg cap/tab,Public,Unit,Burkina Faso,2009,July,0.01,0.01,0.02
Glibenclamide 5 mg cap/tab,Private,Unit,Burkina Faso,2009,July,0.02,0.02,0.02
Glibenclamide 5 mg cap/tab,Public,Unit,Burkina Faso,2009,July,NO DATA,NO DATA,NO DATA
Omeprazole 20 mg cap/tab,Private,Unit,Burkina Faso,2009,July,0.11,0.07,0.31
Omeprazole 20 mg cap/tab,Public,Unit,Burkina Faso,2009,July,NO DATA,NO DATA,NO DATA
Paracetamol 120 mg/5ml suspension,Private,Unit,Burkina Faso,2009,July,0.01,0.01,0.01
Paracetamol 120 mg/5ml suspension,Public,Unit,Burkina Faso,2009,July,0.01,0.01,<0.01
Salbutamol 100 mcg/dose inhaler,Private,Unit,Burkina Faso,2009,July,0.01,0.01,0.02
Salbutamol 100 mcg/dose inhaler,Public,Unit,Burkina Faso,2009,July,0.01,0.01,0.01
Simvastatin 20 mg cap/tab,Private,Unit,Burkina Faso,2009,July,0.70,0.70,0.70
Simvastatin 20 mg cap/tab,Public,Unit,Burkina Faso,2009,July,NO DATA,NO DATA,NO DATA
Amitriptyline 25 mg cap/tab,Private,MPR,Burundi,2013,August,NO DATA,NO DATA,NO DATA
Amitriptyline 25 mg cap/tab,Public,MPR,Burundi,2013,August,NO DATA,NO DATA,NO DATA
Amoxicillin 500 mg cap/tab,Private,MPR,Burundi,2013,August,2.12,1.76,2.12
Amoxicillin 500 mg cap/tab,Public,MPR,Burundi,2013,August,1.59,1.57,1.69
Ceftriaxone 1 g/vial injection,Private,MPR,Burundi,2013,August,NO DATA,NO DATA,NO DATA
Ceftriaxone 1 g/vial injection,Public,MPR,Burundi,2013,August,NO DATA,NO DATA,NO DATA
Ciprofloxacin 500 mg cap/tab,Private,MPR,Burundi,2013,August,1.75,1.38,1.75
Ciprofloxacin 500 mg cap/tab,Public,MPR,Burundi,2013,August,0.88,0.86,1.05
Diazepam 5 mg cap/tab,Private,MPR,Burundi,2013,August,4.21,2.63,5.26
Diazepam 5 mg cap/tab,Public,MPR,Burundi,2013,August,NO DATA,NO DATA,NO DATA
Glibenclamide 5 mg cap/tab,Private,MPR,Burundi,2013,August,7.89,3.15,7.89
Glibenclamide 5 mg cap/tab,Public,MPR,Burundi,2013,August,NO DATA,NO DATA,NO DATA
Omeprazole 20 mg cap/tab,Private,MPR,Burundi,2013,August,2.05,1.37,2.74
Omeprazole 20 mg cap/tab,Public,MPR,Burundi,2013,August,1.15,0.96,1.23
